"campo" "valor"
"dados_id" "ctb0005"
"dados_titulo" "Identificação do limite entre solo e saprolito em Argissolos Bruno-Acinzentados derivados de rochas sedimentares"
"dados_autor" "Rodrigo Bomicieli Oliveira (bomicieli em hotmail com); Fabrício de Araújo Pedron (fapedron em ufsm br)"
"organizacao_nome" "Universidade Federal de Santa Maria (UFSM)"
"organizacao_local" "Av. Roraima , 1000.0, Santa Maria, Brasil, 97105-900 "
"organizacao_url" "http://w3.ufsm.br/ppgcs/"
"dados_descricao" "Consiste de seis observações (perfis) do solo, especificamente conjuntos regolíticos (solo + saprolito) de Argissolos Bruno-Acinzentados e seus materiais geológicos, dispostos em um transecto orientado na direção oeste-leste nos municípios de São Pedro do Sul e Santa Maria, estado do Rio Grande do Sul, Brasil, acompanhando a rodovia BR 287. Estão disponíveis os dados de propriedades químicas, físicas e morfológicas para todo os horizontes amostrados, exceto algumas propriedades específicas dos horizontes superficiais A, E e AB. As análises laboratoriais de amostras deformadas foram realizadas em triplicata, enquanto as amostras indeformadas contaram com 8 repetições de campo e a análise de resistência a penetração com 5 repetições de campo. Porém os dados das repetições não estão disponíveis na dissertação, sendo apresentados apenas os valores agregados (média das repetições). Os métodos de determinação da porosidade total, microporosidade e densidade do solo não estão descritos na dissertação, tendo sido assumidos os métodos mais costumeiramente usados no Laboratórios de Pedologia da UFSM. Os sistemas de referência de coordenadas foram inferidos a partir da descrição da localização das observações do solo registradas na dissertação. De acordo com o orientador do autor da dissertação, há um equívoco na descrição do método de determinação do conteúdo de sódio e potássio trocáveis, que foram determinados utilizando somente a solução extratora Mehlich-1 (a extração com ácido clorídrico não foi realizada). Ainda segundo o orientador do autor da dissertação, os dados do conteúdo de potássio trocável são apresentados nos anexos de duas formas distintas: ‘Potássio Trocável, cmolc/kg’ (formato padrão) e ‘Potássio Assimilável, mg/L’, sendo mantido aqui apenas os dados no formato padrão."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Argissolos; Morfologia; Estrutura; Cor; Saprolito; Material sedimentar"
"dados_publicacao" NA
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY 4.0 Atribuição"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "virtualmente completos (mais de 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
