"campo"	"valor"
"dados_id"	"ctb0675"
"dados_titulo"	"Conjunto de dados do levantamento exploratório 'LEVANTAMENTO EXPLORATÓRIO - RECONHECIMENTO DE SOLOS DO ESTADO DE SERGIPE.'"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento exploratório 'LEVANTAMENTO EXPLORATÓRIO - RECONHECIMENTO DE SOLOS DO ESTADO DE SERGIPE.'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2018-01-11"
"dados_licenca"	"CC BY-NC 4.0"
"organizacao_nome"	NA
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"José Klinger Tito Jacomine (NA); José Onaldo Montenegro (NA); Mateus Rosas Ribeiro (NA); Rheno Amaro Formiga (NA); Sergio Costa Pinto Pessôa (NA); Osvaldo Ferreira Lopes (NA); Aluísio Pereira da Silva (NA); Heraclio F. R. de Mélo Filho (NA); Arnaldo Moniz Ribeiro da Costa (NA); Gilberto Suhett (NA); Antonio Cabral Cavalcanti (NA); Fernando B. Rodrigues e Silva (NA); Jeronimo Cunha Almeida (NA); Nivaldo Burgos (NA); Luiz A. Regueira Medeiros (NA); Clotário Olivier da Silveira (NA); Ernani Lira de Carvalho (NA); Jurandir Gondim Reis (NA); Valdir de Araújo Beltrão (NA); Leandro Vettori (NA); Franklin dos Santos Antunes (NA); Maria de Lourdes A. Anastácio (NA); Hélio Pierantoni (NA); Therezinha C. L. Bezerra (NA); Washington de O. Barreto (NA); Raphael M. Bloise (NA); Maria Amélia Duriez (NA); Ruth A. L. Johas (NA); Giza Nara C. Moreira (NA); José Flávio Dynia (NA); José Lopes de Paula (NA); Hélio A. Vaz de Mello (NA); Ida de Souza S. Vettori (NA); Maria Aparecida B. Pereira (NA); Sinézio F. Chagas (NA); Adahil Medeiros Leite (NA); Manoel da Silva Cardoso (NA); Luiz Rainho S. Carneiro (NA); Loiva Lizia Antonello (NA); Zenaide Fonseca Mello (NA); Maria Lúcia Vasconcellos (NA); Ney Hamilton Porfírio (NA); Maria Carmelita M. Meneses (NA); Roberto Corsino de Oliveira (NA); Paulo Cardoso de Lima. (NA)"
"dados_referencia"	"http://ainfo.cnptia.embrapa.br/digital/bitstream/item/62757/1/CNPS-BOL.-TEC.-36-75.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
