"campo" "valor"
"dados_id" "ctb0799"
"dados_titulo" "Revitalização do Rio São Francisco com base na Reconstituição de Matas Ciliares e Recuperação de Áreas Degradadas nos municípios de Petrolina, Lagoa Grande e Santa Maria da Boa Vista"
"dados_autor" "Tony Jarbas Ferreira Cunha; Manoel Batista de Oliveira Neto; Andréa Maria Alves de Lucena; Wagner da Silva Oliveira; Roberto O  de Santana; Bruno N. Rocha; Rodrigo César Flores Ferreira"
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados referente ao projeto Revitalização do Rio São Francisco com base na Reconstituição de Matas Ciliares e Recuperação de Áreas Degradadas nos municípios de Petrolina, Lagoa Grande e Santa Maria da Boa Vista. Falta estimar coordenadas e registrar a data de alguns perfis."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/884498; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/884498/1/Documentos236.pdf; http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/954647; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/954647/1/BPD104.pdf; http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/954653; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/954653/1/BPD105.pdf; https://cloud.utfpr.edu.br/index.php/s/n0yieCnvQjY7BnQ; https://cloud.utfpr.edu.br/index.php/s/lQUpg4KSsOtRxmz; https://cloud.utfpr.edu.br/index.php/s/VRjC2MqONjX0jMq"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
