"campo" "valor"
"dados_id" "ctb0683"
"dados_titulo" "Levantamento de Reconhecimento de Baixa Intensidade dos Solos do Município de Nioaque, Estado do Mato Grosso do Sul"
"dados_autor" "Nilson Rendeiro Pereira; César da Silva Chagas; Fernando Cézar S. do Amaral; Alexandre Ortega; Maria José Zaroni; Mário Luiz Diamante Áglio; Waldir de Carvalho Júnior; Ailton Martins Amorim; Silvio Barge Bhering; Antonio Carlos Borges Daniel Filho; Enio Fraga da Silva; Carlos Henrique Lemos Lopes; Tony Jarbas Ferreira Cunha; João Sotoya Takagi"
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "O Levantamento de Reconhecimento de Baixa Intensidade dos Solos do Município de Nioaque foi realizado como uma das etapas do Projeto \"Zoneamento Agroecológico do Estado do Mato Grosso do Sul\", coordenado pela Embrapa Solos em convênio com governo do Estado do Mato Grosso do Sul por meio da Secretaria de Estado de Desenvolvimento Agrário, da Produção, da Indústria, do Comércio e do Turismo (SEPROTUR)."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Levantamento de Solos; Zoneamento Agroecológico; Mato Grosso do Sul"
"dados_publicacao" "https://ainfo.cnptia.embrapa.br/digital/bitstream/item/84291/1/bpd-131-levantamento-nioaque.pdf; http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/959648;"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" "Nioaque, Mato Grosso do Sul"
"extensao_altimetrica" NA
"extensao_pedometrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
