"campo" "valor"
"dados_id" "ctb0663"
"dados_titulo" "Levantamento de reconhecimento de média intensidade dos solos e avaliação da aptidão agrícola das terras de uma area sob influência dos rios Araguari, Falsino e Tartarugal Grande-Território Federal do Amapá"
"dados_autor" "Humberto Gonçalves dos Santos; Marcos Rocha de Andrade; João Cristóstomo Duarte de Souza; Loiva Lizia Antonello; Laércio Aires dos Santos; Alcione Maria Carvalho Cavalcante; Washington de Oliveira Barreto"
"organizacao_nome" "EMBRAPA SOLOS"
"organizacao_local" "Brasil"
"organizacao_url" "www.embrapa.br/solos"
"dados_descricao" "Dados de seis perfis e doze amostras extra de levantamento de reconhecimento de média intensidade em área destinada a projeto de colanização no Território Federal do Amapá (2.103 km2) A seleção dos locais de observação, a descrição, amostragem e análise de solo foram realizados utilizando-se metodologia do SNLCS. O levantamento identificou os seguintes solos: Latossolo Amarelo Álico, Latossolo Vermelho-Amarelo Álico, Podzólico Vermelho-Amarelo Álico, Glei Pouco Húmico Álico, Glei Húmico Álico e Hidromórfico Cinzento Álico. Estão faltando os dados das 222 amostras de solo para análise de fertilidade coletadas em 81 pontos."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Agriculture fitness; Amapá; Brasil; Classificação; Land reconnaissance; Levantamento exploratório; Rio Araguari; Rio Falsino; Rio Tartarugal Grande; Soil serveys; Soils; Solos; Survey; Survey exploratory;"
"dados_publicacao" "http://ainfo.cnptia.embrapa.br/digital/bitstream/item/62941/1/CNPS-BOL.-PESQ.-7-82.pdf"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "aproximadamente completos (entre 70 e 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
