"campo" "valor"
"dados_id" "ctb0768"
"dados_titulo" "PROJETO RADAMBRASIL. Folha SE. 22 Goiânia. Pedologia. (Volume 31)"
"dados_autor" "Antônio Gladstone Carvalho Fraga; Antonio Santos Silva Novaes; Paulo César Vieira; Zebino Pacheco do Amaral Filho"
"organizacao_nome" "Instituto Brasileiro de Geografia e Estatística (IBGE)"
"organizacao_local" "Av. Brasil, 15671/Bl.III-B/3°andar, Parada de Lucas, Rio de Janeiro-RJ / tel.: (21) 2142-4998"
"organizacao_url" "https://www.ibge.gov.br/"
"dados_descricao" "O levantamento exploratório de solos da Folha SE.22 Goiânia teve como objetivo a localização, delimitação e classificação dos solos ocorrentes em níveis significativos na área. Foram coletadas 838 amostras relativas a 187 perfis e mais 107 amostras referentes a 54 pontos para análise de fertilidade. Auxiliaram ainda para avaliação da área 65 perfis amostrados pela Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA) e 29 perfis da Secretaria de Agricultura do Estado de Goiás. Os laboratórios da Superintendência do Desenvolvimento da Região Sul (SUDESUL) e do Serviço Nacional de Levantamento e Conservação de Solos (SNLCS) foram responsáveis pelas análises físicas e químicas das amostras coletadas, enquanto que as análises para avaliação de fertilidade do solo ficaram a cargo do laboratório da Secretaria de Agricultura do Estado de Goiás. A caracterização dos diferentes tipos de solos seguiu os conceitos estabelecidos pelo Serviço Nacional de Levantamento e Conservação de Solos-EMBRAPA e pela Soil Taxonomy de 1975. Finalizados os trabalhos, verificou-se que os solos de maior ocorrência são os Latossolos, seguindo-se as Areias Ouartzosas, os Podzólicos e os Cambissolos. Destacam-se o Podzólico Vermelho-Amarelo Eutrófico e os solos derivados de basalto, como a Terra Roxa Estruturada e o Latossolo Roxo, como os de maior potencialidade agricola. (OS DADOS DE APENAS 62 PERFIS ESTÃO CONTIDOS AQUI, FALTANDO INCLUIR AQUELES DAS TABELAS ANEXAS, INCLUSIVE DAS AMOSTRAS PARA AVALIAÇÃO DA FERTILIDADE. ALGUNS DADOS DE DENSIDADE PRECISAM SER DIGITADOS. FALTA INCLUIR DADOS DAS ANÁLISES MINERALÓGICAS. FALTA DIFERENCIAR DADOS GERADOS NOS LABORATÓRIOS DISTINTOS. FALTA INSERIR DADOS PRODUZIDOS USANDO MÉTODOS DISTINTOS. FALTA CONSOLIDAR MÉTODOS ANALÍTICOS. FALTA VEGETAÇÃO PRIMÁRIA E UNIDADE DE MAPEAMENTO.)"
"dados_idioma" "pt-br"
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "https://biblioteca.ibge.gov.br/visualizacao/livros/liv17157.pdf; https://www.dropbox.com/s/vnnyogs4we09orr/NovaesEtAl1983_Pedologia_-_Levantamento_Exploratorio_de_Solos.pdf?dl=0"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" "Situa-se na região Centro-Oeste do Brasil, limitada pelos paralelos 16° e 20°S e pelos meridianos 48° e 54°WGr, compreendendo grande parte do Estado de Goiás e pequena porção dos Estados do Mato Grosso, Mato Grosso do Sul, Minas Gerais e São Paulo, perfazendo um total de 281.212 km2."
"extensao_altimetrica" NA
"dados_completude" "incompletos (menos de 70% de cobertura)"
"dados_consistencia" "consistência estrutural"
