"campo" "valor"
"dados_id" "ctb0015"
"dados_titulo" "Suscetibilidade magnética na estimativa de atributos do solo e identificação de compartimentos da paisagem em Latossolos de basalto no planalto do RS"
"dados_autor" "Priscila Vogelei Ramos (priscilav.ramos em yahoo com br); Ricardo Simão Diniz Dalmolin (dalmolin em ufsm br)"
"organizacao_nome" "Universidade Federal de Santa Maria (UFSM)"
"organizacao_local" "Av. Roraima , 1000.0, Santa Maria, Brasil, 97105-900 "
"organizacao_url" "http://w3.ufsm.br/ppgcs/"
"dados_descricao" "Contém dados de ferro de 5 trincheiras abertas em uma lavaroura de grãos de 350 ha sob pivo central. Os locais de coleta foram definitos pelo relevo, sendo que foram escolhidos locais com grande variação de declividade. Sistema de Coordenadas de Referência desconhecido; assumiu-se valor padrão."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Pedometria; Variabilidade espacial; Split Moving Window"
"dados_publicacao" "http://w3.ufsm.br/ppgcs/images/Dissertacoes/PRISCILA-VOGELEI-RAMOS.pdf; http://dx.doi.org/10.1590/18069657rbcs20160189"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY 4.0 Atribuição"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "incompletos (menos de 70% de cobertura)"
"dados_consistencia" "consistência estrutural"
