"campo" "valor"
"dados_id" "ctb0771"
"dados_titulo" "Projeto RADAMBRASIL. Folha SE.24 Rio Doce; Pedologia (volume 34)"
"dados_autor" "Joel Hamilton Gomes dos Santos; Eduardo Inácio Vieira; Glailson Barreto Silva; Nelson Lara da Costa; Ana Maria Menezes Santos; Alfredo Stange; Paulo Roberto Soares Corrêa; Vilmar Oliveira; Raymundo Costa de Lemos; Ari Délcio Cavedon"
"organizacao_nome" "Instituto Brasileiro de Geografia e Estatística (IBGE)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados do volume 34 do levantamento exploratório do PROJETO RADAMBRASIL. Falta estimar coordenadas e anotar datas de muitos perfis. Falta digitalizar mineralogia da areia."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?view=detalhes&id=219971; https://biblioteca.ibge.gov.br/visualizacao/livros/liv19971.pdf; https://cloud.utfpr.edu.br/index.php/s/1Qm5rJxY3Y40idH"
"fonte_financeira" NA
"dados_licenca" "CC BY 4.0 Atribuição"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "aproximadamente completos (entre 70 e 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
