"campo" "valor"
"dados_id" "ctb0565"
"dados_titulo" "Levantamento de Reconhecimento de Alta Intensidade dos Solos e Avaliação da Aptidão Agrícola das Terras da Área de Novo Paraíso, Roraima"
"dados_autor" "Lima; A. A. C.; Rêgo; R. S.; Silva; B. N. R. da; Duriez; M. A. de M.; Calessen; M. E. C.; Johas; R. A. L.; Araújo; W. S. de; Moreira; G. N. C.; Bloise; R.; Paula; J. L. de; Santos; H. G. dos ."
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Dados de perfis do solo observados e amostrados, para fins de classificação e mapeamento pedológico na escala 1:250.000, área de Novo Paraíso, no Estado de Roraima. As observações de 21 perfis do solo foram feitas em locais representativos, com descrição morfológica detalhada e coleta segundo normas do Soil Survey Manual (Estados Unidos, 1951) e do Manual de Métodos de Trabalho de Campo (Lemos & Santos, 1982). As análises químicas e físicas foram realizadas conforme o Manual de Métodos de Análise de Solo (Embrapa, 1979). A classificação dos solos foi atualizada para Embrapa (1999) antes da publicação. (Dados originalmente obtidos do BDSolos e submetidos a rotinas de avaliação e melhoria de qualidade no FEBR.)"
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "levantamento pedológico; argissolos amarelos; latossolos amarelos; plintossolos; nitossolos;"
"dados_publicacao" "https://ainfo.cnptia.embrapa.br/digital/bitstream/CNPS/11483/1/novo_paraiso.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
