"campo" "valor"
"dados_id" "ctb0770"
"dados_titulo" "Conjunto de dados do levantamento exploratório 'PROJETO RADAMBRASIL - Levantamento de Recursos Naturais Volume 33'"
"dados_autor" "João Carlos Ker; Jaime Antonio de Almeida; Pedro Jorge Fasolo; Delcio Peres Hochmüller"
"organizacao_nome" "Instituto Brasileiro de Geografia e Estatística (IBGE)"
"organizacao_local" "Rio de Janeiro, Brasil"
"organizacao_url" "www.ibge.gov.br"
"dados_descricao" "Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento exploratório 'PROJETO RADAMBRASIL - Levantamento de Recursos Naturais. Volume 33'. Dados de localização espacial da maior parte das observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, enquanto para os restantes foram usados os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google MyMaps, motivo pelo qual assume-se que a fonte de todas as coordenadas seja a WEB, adotando-se assim o WGS 84 como datum padrão. Até que avaliações mais detalhadas das coordenadas sejam feitas, a precisão estimada é de 1000 m. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. O mesmo foi feito com dados dos limites dos horizontes. A fim de preservar a conexão dos dados com o SISB e Cooper et al. (2005), foram criadas colunas contendo os respectivos códigos de identificação daqueles trabalhos para o conjunto de dados. Já o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "http://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?view=detalhes&id=219048; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140; https://www.dropbox.com/s/merzkr3h9vny87h/KerEtAl1986.pdf?dl=0"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
