"campo" "valor"
"dados_id" "ctb0018"
"dados_titulo" "Conjunto de dados do 'Projeto Caldeirão: caracterização e gênese das Terras Pretas de Índio na Amazônia'"
"dados_autor" "Wenceslau Geraldes Teixeira (wenceslau.teixeira em embrapa br)"
"organizacao_nome" "Embrapa Solos; Embrapa Amazônia Ocidental"
"organizacao_local" "Rua Jardim Botânico, 1024.0, Rio de Janeiro, Brasil, 22460-000"
"organizacao_url" "https://www.embrapa.br/en/solos"
"dados_descricao" "Os dados foram coletados em malha quase regular, com distância de até 50 m, com amostras coletadas usando cavadeira \"boca-de-lobo\" em camadas de 0-20, 20-40, 40-60, 60-80, 80-100. A identificação das observações é feita usando a coluna da tabela original chamada 'Stake'. Coluna 'amostra_codigo' refere-se à coluna 'Protocol' da tabela original contendo os dados de ICP-MS."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos; Manejo e Conservação do Solo"
"palavras_chave" "Solos da Amazônia; Anthrsols; Terra Preta de Índio"
"dados_publicacao" NA
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY 4.0 Atribuição"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
