"campo" "valor"
"dados_id" "ctb0821"
"dados_titulo" "Estudo Expedito de Solos no estado do Piauí Para Fins de Classificação, Correlação e Legenda Preliminar"
"dados_autor" "Paulo Klinger Tito Jacomine; Marcelo Nunes Camargo; Américo Pereira de Carvalho; Sergio Costa Pinto Pessoa; Antonio Cabral Cavalcanti; Heraclio Fernandes Raposo de Mélo Filho; Luiz Alberto Regueira Medeiros; Nivaldo Burgos; Osvaldo Ferreira Lopes; Rheno Amaro Formiga"
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados referente ao Estudo Expedito de Solos no estado do Piauí Para Fins de Classificação, Correlação e Legenda Preliminar. Falta estimar coordenadas e anotar data de coleta. Falta digitalizar dados de observações pontuais sem coleta de solo e amostras extra."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/335996; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/335996/1/BT631980.pdf; https://ainfo.cnptia.embrapa.br/digital/bitstream/item/175686/1/BT-63-1980.pdf; https://cloud.utfpr.edu.br/index.php/s/j3mtqUrGWqSiudw"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "aproximadamente completos (entre 70 e 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
