"campo" "valor"
"dados_id" "ctb0006"
"dados_titulo" "Zoneamento edáfico de culturas para o município de Santa Maria - RS, visando o ordenamento territorial"
"dados_autor" "Carlos Alberto Flores (cflores em terra com br); José Maria Filippini Alba (jose.filippini em embrapa br); Stefan Domingues Nachtigall; Henrique Noguez da Cunha; Rodrigo Thiel Lopes; Ricardo S. Diniz Dalmolin (dalmolinrsd em gmail com); Fabricio de Araújo Pedron (fapedron em ufsm br); Jean Michel Moura Bueno (bueno.jean1 em gmail com); Gabriel Antônio Deobald (gantoniod em gmail com); Pedro Paulo Ramos Ribeiro do Nascimento (pedonpaulo em hotmail com); André Carnieletto Dotto (andrecdot em gmail com); João Pedro Moro Flores (m.fjoaopedro em gmail com); Emilio Buchanelli Bernich; Matheus Ceron Lange"
"organizacao_nome" "Embrapa Clima Temperado"
"organizacao_local" "BR 392, Km 78, Pelotas, Brasil, 96010-971"
"organizacao_url" "https://www.embrapa.br/clima-temperado"
"dados_descricao" "Dados do levantamento semidetalhado dos solos do município de Santa Maria, visando a identificação, distribuição geográfica e delimitação cartográfica dos tipos de solos encontrados, na escala 1:50.000. Foram realizadas ao todo 623 observações a campo, sendo __ tradagens e 72 perfis completos observados em trincheiras e barrancos de estradas, procurando seguir percursos previamente definidos, pela análise das cartas topográficas do munícipio. A descrição e coleta das amostras do solo seguiu o Manual de Descrição de Solo no Campo (LEMOS; SANTOS, 1996), enquanto os métodos analíticos laboratoriais seguiram o Manual de Métodos de Análise de Solo (EMBRAPA, 1997), ambos com vistas à classificação taxonômica conforme o Sistema Brasileiro de Classificação de Solos (SANTOS et al., 2013)."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Zoneamento climático; Solo; Aptidão agrícola; Recurso natural; Rio Grande do Sul"
"dados_publicacao" "https://ainfo.cnptia.embrapa.br/digital/bitstream/item/140726/1/Zonemanto-SM-v9-web.pdf"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "completos (100% de cobertura)"
"dados_consistencia" "consistência estrutural"
