"campo" "valor"
"dados_id" "ctb0776"
"dados_titulo" "Conjunto de dados do  'Anais da I Reunião de Classificação, Correlação de Solos e Interpretação de Aptidão Agrícola de solos. '"
"dados_autor" "A. Perraud; A. Cardoso; A. F. Soares; A. P. de Carvalho; A. M. L. Neptune; A. A. A. Uberti; A. C. Leão; A. M. P. Filho; A. R. Filho; A. D. Cavedon; A. M. R. da Costa; B. N. R. da Silva; C. Nobrega; C. O. da Silveira; D. N. Lopes; D. A. de Souza; D. P. Hochmüler; D. P. Santana; D. Yamasaki; D. P. Ramos; E. P. Mothci; E. Klamt; F. B. R. e Silva; F. G. de Freitas; F. Palmieri; F. R. B. Leite; G. B. de Medeiros; G. Ranzani; H. Averbeck; H. F. R. Melo; H. G. dos Santos; I. A. Gomes; I. F. Lepsch; J. A. de Souza; J. Macedo; J. A. M do Amaral; J. B. de Oliveira; J. M. L. da Silva; J. S. Martins; J. Cecílio; J. O. I. Larach; J. L. I. Demattê; J. S. Rosatelli; K. P. Wittern; L. P. Ribeiro; L. B. de Oliveira; L. A. Panoso; M. N. Camargo; M. Resende; M. A. D. Azolin; M. C. L. dos Santos; N. J. T. Bloomfield; N. Brugos; P. C. F. Gomes; P. K. T. Jacomine; P. R. S. Correa; P. F. Godo; P. J. Fasolo; P. L. Donzelli; R. C. de Lemos; R. S. Rego; R. D. dos Santos; R. A. Formiga; R. O. Sanchez; R. N. Peres; T. E. Rodrigues; V. de Oliveira; W. Mendes; W. O. Barreto; Z. P. Amaral."
"organizacao_nome" NA
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao  'Anais da I Reunião de Classificação, Correlação de Solos e Interpretação de Aptidão Agrícola de solos. '. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "Anais da 1ª. Reunião de Classificação, Correlação de Solos e Interpretação de Aptidão Agrícola. Rio de Janeiro, SNLCS/SBCS, 1979. 276p. il. ; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
