"campo" "valor"
"dados_id" "ctb0687"
"dados_titulo" "Levantamento de Reconhecimento dos Solos do Núcleo Colonial de Gurguéia"
"dados_autor" "Raphael David dos Santos; Antônio Manoel Pires Filho; Francisco Palmieri; Humberto Gonçalves dos Santos; Idarê Azevedo Gomes; Aparecida B. Pereira; Adahil M. Leite; Franklin Santos Antunes; Hélia Alberto Vaz Mello; Hélio Pierantoni; Ida Vettori; Leandro Vettori; Loiva L. Antonello; Luiz Rainho S. Carneiro; Maria Amélia Duriez; Maria de Lourdes A. Anastécio; Mariana E. Heinnann; Raphael M. Bloise; Ruth A. L. Johas; Tasso P. Figueiredo; Therezinha C. L. Bezerra; Zilda Braemaker; Francisca F. M. Pinheiro; Gisa Nara C. Moreira; José Lopes de Paula; Raymundo M. Sobral Filho; José F. B. Zikán"
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados referente ao Levantamento de Reconhecimento dos Solos do Núcleo Colonial de Gurguéia. Falta entrar dados de amostras de fertilidade e mineralogia da areia. Falta estimar coordenadas espaciais e registrar data de coleta."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/330761; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/330761/2/EPFS-BT-6-1969.pdf; https://ainfo.cnptia.embrapa.br/digital/bitstream/item/213022/1/EPFS-BT-6-1969.pdf; https://cloud.utfpr.edu.br/index.php/s/6hq84QJhclf20bm"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "incompletos (menos de 70% de cobertura)"
"dados_consistencia" "consistência estrutural"
