"campo" "valor"
"dados_id" "ctb0610"
"dados_titulo" "Levantamento de Reconhecimento de Média Intensidade, Avaliação de Aptidão Agrícola das Terras e indicação de Culturas em Áreas Homogêneas de Solos de Alguns Municípios do Sudoeste do Estado de Mato Grosso"
"dados_autor" "Antonio Manoel Pires Filho; Humberto G. dos Santos; Elias P. Mothci; Raymundo M. Sobral Filho; Osório O. Marques da Fonseca; Maria Amélia de M. Duriez; Marie Elizabeth C. C. de M. Melo; Ruth Andrade Leal Johas; Wilson Sant'Anna de Araújo; Raphael Minotti Bloise; Gisa Nara C. Moreira; José Lopes de Paula; Luiz Eduardo Ferreira Fontes; João Luiz Rodrigues de Souza; Therezinha da Costa Lima; Loiva Lizia Antonello; Evandra Maria Rodrigues; Therezinha Xavier Bastos; Tatiana Deane de Abreu Sá Diniz."
"organizacao_nome" NA
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento de reconhecimento de média intensidade 'Levantamento de Reconhecimento de Média Intensidade, Avaliação de Aptidão Agrícola das Terras e indicação de Culturas em Áreas Homogêneas de Solos de Alguns Municípios do Sudoeste do Estado de Mato Grosso.'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "https://ainfo.cnptia.embrapa.br/digital/bitstream/item/62541/1/CNPS-BOL.-PESQ.-17-82.pdf"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" NA
"dados_consistencia" "consistência estrutural"
